Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2019-01-31,Breakfast,200.0,0.5,0.0,0.0,0.0,0.0,5.0,1010.0,960.0,41.0,4.0,28.0,7.0,75.0,310.0,29.0,29.0,
2019-01-31,Lunch,400.0,26.0,6.0,9.0,10.0,0.0,70.0,800.0,0.0,20.0,2.0,2.0,18.0,0.0,0.0,0.0,4.0,
2019-01-31,Snacks,150.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,
2019-02-02,Breakfast,418.0,7.0,0.0,0.0,0.0,0.0,10.0,250.0,640.0,77.0,4.0,38.0,14.6,32.0,280.0,60.0,70.0,
2019-02-02,Lunch,513.0,33.5,0.0,0.0,0.0,0.0,62.5,1530.0,0.0,58.0,8.0,11.8,42.5,0.0,37.5,0.0,13.0,
2021-02-22,Breakfast,171.5,5.8,1.8,1.5,1.8,0.0,186.0,206.0,69.0,20.4,1.0,3.2,10.3,80.0,0.0,32.0,6.9,
2021-02-22,Dinner,1160.0,37.0,18.0,0.5,0.0,0.0,155.0,1282.5,1140.4,142.5,10.0,10.5,76.5,36.0,25.0,72.4,49.0,
2021-02-22,Lunch,410.0,16.0,3.0,0.0,0.0,0.0,35.0,800.0,0.0,40.0,2.0,5.0,14.0,0.0,2.0,10.0,15.0,
2021-02-22,Snacks,230.0,3.5,2.0,0.0,0.0,0.0,15.0,250.0,520.0,8.0,0.0,8.0,42.0,50.0,0.0,70.0,0.0,
2021-02-23,Breakfast,635.5,13.0,5.1,1.9,3.7,0.0,387.0,854.5,658.0,75.7,1.5,57.2,56.1,185.0,6.0,136.0,1.8,
2021-02-23,Dinner,950.0,30.0,10.0,0.0,0.0,0.0,135.0,1260.0,640.0,93.0,7.0,10.0,77.0,180.0,33.0,60.0,46.0,
2021-02-23,Lunch,360.0,24.0,8.0,0.0,0.0,0.0,60.0,1380.0,280.0,22.0,2.0,0.0,14.0,0.0,0.0,10.0,10.0,
2021-02-23,Snacks,240.0,12.0,7.5,0.8,3.8,0.0,52.5,195.0,670.0,22.0,0.0,16.5,12.0,9.0,6.0,45.0,0.0,
2021-02-24,Breakfast,368.0,17.0,5.8,2.4,3.7,0.0,384.5,602.0,138.0,33.2,2.5,3.9,21.6,163.5,17.5,61.0,10.8,
2021-02-24,Dinner,1145.0,32.0,15.5,0.8,3.8,0.0,137.5,1320.0,1370.0,141.0,6.0,26.5,78.0,45.0,31.0,89.0,48.0,
2021-02-24,Lunch,490.0,16.5,9.0,0.0,0.0,0.0,55.0,920.0,520.0,30.0,0.0,12.0,54.0,31.0,0.0,95.0,8.0,
2021-02-24,Snacks,10.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-02-25,Breakfast,188.0,9.5,3.1,1.9,3.7,0.0,372.0,527.0,138.0,17.7,1.0,0.9,13.6,160.0,4.0,56.0,1.8,
2021-02-25,Dinner,1186.0,35.4,13.2,0.0,0.0,0.0,140.0,1760.3,920.0,137.8,13.4,7.0,81.8,30.0,25.0,50.0,50.0,
2021-02-25,Lunch,520.0,26.5,8.0,0.0,0.0,0.0,60.0,920.0,848.0,32.0,7.0,11.0,40.0,25.0,0.0,670.0,0.0,
2021-02-27,Breakfast,513.0,19.5,5.6,1.9,3.7,0.0,372.0,972.0,253.0,61.7,5.0,4.4,21.6,160.0,0.0,71.0,16.8,
2021-02-27,Dinner,404.0,5.7,1.1,0.6,0.4,0.1,149.0,334.0,1008.0,1.8,1.5,0.1,82.8,8.0,16.0,21.0,32.9,
2021-02-27,Lunch,440.0,32.0,3.2,2.7,14.7,0.0,0.0,10.5,727.5,12.8,10.1,1.0,33.0,10.5,15.0,18.0,0.8,
2021-02-28,Breakfast,280.0,11.5,5.5,1.5,3.5,0.0,35.0,260.0,425.0,36.0,1.0,21.0,9.0,16.0,14.0,40.0,50.0,
2021-03-01,Breakfast,683.0,18.0,5.1,1.9,3.7,0.0,387.0,777.0,763.0,74.7,1.0,61.9,55.6,285.0,504.0,156.0,1.8,
2021-03-01,Dinner,733.0,40.1,11.0,0.0,0.0,0.0,65.0,1344.0,170.0,42.4,3.0,6.5,49.4,32.0,15.0,40.0,16.0,
2021-03-01,Lunch,260.0,13.0,7.0,0.0,0.0,0.0,45.0,750.0,0.0,22.0,1.0,5.0,14.0,4.0,20.0,20.0,8.0,
2021-03-02,Breakfast,698.0,14.0,5.3,1.9,3.7,0.0,387.0,887.0,658.0,85.7,2.0,63.9,58.6,210.0,4.0,128.0,5.8,
2021-03-02,Dinner,620.0,20.5,7.0,4.0,3.0,0.0,55.0,250.0,620.0,47.0,1.0,11.0,66.0,50.0,0.0,70.0,8.0,
2021-03-02,Lunch,610.0,30.0,7.5,4.0,3.0,0.0,75.0,680.0,100.0,62.0,2.0,13.0,36.0,0.0,0.0,0.0,8.0,
2021-03-02,Snacks,200.0,2.0,0.4,1.0,0.0,0.0,0.0,270.0,0.0,40.0,2.0,6.0,8.0,0.0,0.0,8.0,12.0,
2021-03-07,Breakfast,553.0,19.5,6.1,5.4,5.2,0.0,382.0,602.0,858.0,68.7,2.0,38.4,23.6,172.0,206.0,86.0,43.8,
2021-03-08,Breakfast,473.0,19.5,5.5,6.4,5.2,0.0,372.0,692.0,298.0,54.7,4.0,6.4,21.6,160.0,6.0,64.0,15.8,
2021-03-08,Dinner,510.0,22.5,9.0,0.0,0.0,0.5,45.0,830.0,520.0,32.0,1.0,12.0,46.0,25.0,0.0,80.0,0.0,
2021-03-08,Lunch,474.0,7.0,2.8,0.7,0.8,0.0,87.0,520.0,908.0,31.0,1.0,10.0,70.5,25.0,0.0,84.0,22.0,
2021-03-09,Breakfast,703.0,23.0,7.5,6.4,5.2,0.0,387.0,942.0,818.0,62.7,4.0,13.4,63.6,185.0,6.0,144.0,15.8,
2021-03-09,Lunch,250.0,19.0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,15.0,
2021-03-10,Breakfast,178.0,9.5,3.1,1.9,3.7,0.0,372.0,157.0,138.0,8.7,1.0,0.9,13.6,160.0,4.0,56.0,1.8,
2021-03-10,Dinner,660.0,30.3,12.4,0.0,0.0,0.0,206.3,206.3,620.0,26.0,2.0,1.0,63.5,0.0,45.0,2.0,47.3,
2021-03-22,Breakfast,533.0,25.0,7.6,2.9,6.7,0.0,402.0,727.0,843.0,16.7,1.0,8.9,60.6,285.0,504.0,156.0,3.8,
2021-03-22,Lunch,10.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-03-23,Breakfast,260.0,7.0,2.0,1.0,4.0,0.0,0.0,220.0,190.0,42.0,4.0,21.0,9.0,10.0,10.0,20.0,10.0,
2021-03-24,Breakfast,640.0,26.5,10.5,0.0,0.0,0.0,60.0,1230.0,860.0,45.0,2.0,13.0,58.0,29.0,26.0,100.0,10.0,
2021-03-29,Breakfast,560.0,16.5,9.0,0.0,0.0,0.0,55.0,940.0,870.0,48.0,0.0,30.0,54.0,81.0,50.0,95.0,8.0,
2021-03-29,Dinner,1040.0,25.0,5.0,2.0,0.0,0.0,150.0,1150.0,1520.0,90.0,18.0,10.0,114.0,0.0,0.0,68.0,54.0,
2021-03-29,Lunch,200.0,12.0,3.0,0.0,0.0,0.0,20.0,890.0,0.0,17.0,2.0,1.0,7.0,10.0,6.0,4.0,0.0,
2021-03-30,Breakfast,508.0,14.0,5.3,2.4,3.7,0.0,387.0,542.0,658.0,36.7,2.0,10.9,59.6,185.0,4.0,140.0,7.8,
2021-03-30,Dinner,520.0,23.5,11.5,0.0,0.0,0.5,180.0,1210.0,0.0,24.0,1.0,5.0,52.0,0.0,12.0,6.0,6.0,
